87001,,1490
87001,1,840
87001,2,430
87001,3,110
87001,4,50
87001,5,60
87001,6,**
,,
87002,,8080
87002,1,3630
87002,2,2230
87002,3,1020
87002,4,590
87002,5,550
87002,6,60
,,
87004,,5060
87004,1,2020
87004,2,1420
87004,3,590
87004,4,440
87004,5,490
87004,6,100
,,
87005,,260
87005,1,110
87005,2,70
87005,3,40
87005,4,40
87005,5,**
87005,6,0
,,
87006,,440
87006,1,180
87006,2,130
87006,3,70
87006,4,30
87006,5,30
87006,6,**
,,
87008,,1230
87008,1,320
87008,2,200
87008,3,170
87008,4,160
87008,5,300
87008,6,80
,,
87010,,520
87010,1,240
87010,2,110
87010,3,70
87010,4,30
87010,5,70
87010,6,**
,,
87012,,100
87012,1,50
87012,2,30
87012,3,20
87012,4,**
87012,5,**
87012,6,**
,,
87013,,1610
87013,1,960
87013,2,390
87013,3,150
87013,4,70
87013,5,40
87013,6,**
,,
87014,,280
87014,1,120
87014,2,110
87014,3,20
87014,4,30
87014,5,**
87014,6,**
,,
87015,,5720
87015,1,1910
87015,2,1360
87015,3,880
87015,4,600
87015,5,850
87015,6,120
,,
87016,,960
87016,1,450
87016,2,250
87016,3,120
87016,4,70
87016,5,70
87016,6,**
,,
87017,,160
87017,1,80
87017,2,40
87017,3,40
87017,4,**
87017,5,**
87017,6,0
,,
87018,,130
87018,1,90
87018,2,40
87018,3,**
87018,4,.
87018,5,**
87018,6,0
,,
87020,,3920
87020,1,1680
87020,2,990
87020,3,540
87020,4,330
87020,5,320
87020,6,60
,,
87023,,380
87023,1,150
87023,2,110
87023,3,60
87023,4,30
87023,5,30
87023,6,0
,,
87024,,1060
87024,1,510
87024,2,350
87024,3,110
87024,4,50
87024,5,40
87024,6,**
,,
87025,,540
87025,1,150
87025,2,90
87025,3,70
87025,4,70
87025,5,130
87025,6,30
,,
87026,,1420
87026,1,810
87026,2,430
87026,3,110
87026,4,50
87026,5,20
87026,6,**
,,
87027,,110
87027,1,50
87027,2,20
87027,3,40
87027,4,**
87027,5,**
87027,6,**
,,
87031,,16360
87031,1,6700
87031,2,4660
87031,3,2240
87031,4,1300
87031,5,1310
87031,6,150
,,
87035,,2700
87035,1,1340
87035,2,710
87035,3,340
87035,4,160
87035,5,120
87035,6,30
,,
87036,,780
87036,1,400
87036,2,160
87036,3,90
87036,4,60
87036,5,70
87036,6,**
,,
87041,,420
87041,1,190
87041,2,140
87041,3,40
87041,4,50
87041,5,**
87041,6,**
,,
87042,,1730
87042,1,620
87042,2,430
87042,3,270
87042,4,160
87042,5,210
87042,6,40
,,
87043,,2600
87043,1,550
87043,2,390
87043,3,340
87043,4,320
87043,5,720
87043,6,280
,,
87044,,130
87044,1,60
87044,2,50
87044,3,**
87044,4,20
87044,5,**
87044,6,0
,,
87045,,610
87045,1,380
87045,2,140
87045,3,50
87045,4,40
87045,5,**
87045,6,**
,,
87047,,2400
87047,1,670
87047,2,370
87047,3,290
87047,4,280
87047,5,560
87047,6,230
,,
87048,,4500
87048,1,1210
87048,2,710
87048,3,570
87048,4,450
87048,5,1010
87048,6,550
,,
87052,,1130
87052,1,690
87052,2,330
87052,3,80
87052,4,30
87052,5,**
87052,6,0
,,
87053,,440
87053,1,220
87053,2,140
87053,3,60
87053,4,20
87053,5,**
87053,6,**
,,
87056,,320
87056,1,110
87056,2,70
87056,3,50
87056,4,40
87056,5,50
87056,6,**
,,
87059,,4350
87059,1,1270
87059,2,820
87059,3,620
87059,4,510
87059,5,890
87059,6,240
,,
87062,,630
87062,1,310
87062,2,190
87062,3,60
87062,4,40
87062,5,30
87062,6,**
,,
87063,,110
87063,1,60
87063,2,50
87063,3,**
87063,4,**
87063,5,**
87063,6,**
,,
87068,,2070
87068,1,650
87068,2,560
87068,3,280
87068,4,240
87068,5,280
87068,6,60
,,
87083,,210
87083,1,70
87083,2,60
87083,3,40
87083,4,**
87083,5,40
87083,6,**
,,
87102,,8450
87102,1,4430
87102,2,2570
87102,3,780
87102,4,290
87102,5,290
87102,6,90
,,
87104,,5580
87104,1,2110
87104,2,1370
87104,3,730
87104,4,430
87104,5,610
87104,6,330
,,
87105,,21920
87105,1,10750
87105,2,6730
87105,3,2320
87105,4,1010
87105,5,970
87105,6,140
,,
87106,,10900
87106,1,4890
87106,2,2530
87106,3,1270
87106,4,720
87106,5,1060
87106,6,430
,,
87107,,13600
87107,1,5510
87107,2,3530
87107,3,1590
87107,4,930
87107,5,1300
87107,6,740
,,
87108,,14860
87108,1,7730
87108,2,3970
87108,3,1430
87108,4,710
87108,5,810
87108,6,210
,,
87109,,18830
87109,1,7170
87109,2,4860
87109,3,2450
87109,4,1530
87109,5,2320
87109,6,500
,,
87110,,18730
87110,1,7010
87110,2,4990
87110,3,2720
87110,4,1640
87110,5,1910
87110,6,460
,,
87111,,27430
87111,1,8000
87111,2,5780
87111,3,3760
87111,4,2940
87111,5,5040
87111,6,1910
,,
87112,,20680
87112,1,7990
87112,2,5540
87112,3,2960
87112,4,1790
87112,5,2040
87112,6,360
,,
87113,,6750
87113,1,2040
87113,2,1460
87113,3,1040
87113,4,720
87113,5,1200
87113,6,290
,,
87114,,28940
87114,1,9070
87114,2,7220
87114,3,4460
87114,4,3260
87114,5,4190
87114,6,740
,,
87116,,1540
87116,1,500
87116,2,550
87116,3,250
87116,4,130
87116,5,110
87116,6,**
,,
87120,,28580
87120,1,8920
87120,2,7090
87120,3,4610
87120,4,3040
87120,5,4180
87120,6,740
,,
87121,,30980
87121,1,14040
87121,2,10760
87121,3,3790
87121,4,1490
87121,5,870
87121,6,30
,,
87122,,8160
87122,1,1790
87122,2,840
87122,3,770
87122,4,740
87122,5,2330
87122,6,1690
,,
87123,,18740
87123,1,7780
87123,2,4750
87123,3,2290
87123,4,1400
87123,5,2080
87123,6,440
,,
87124,,24870
87124,1,8660
87124,2,6270
87124,3,3760
87124,4,2540
87124,5,3120
87124,6,520
,,
87144,,18100
87144,1,5650
87144,2,4590
87144,3,2930
87144,4,2020
87144,5,2500
87144,6,410
,,
87301,,8220
87301,1,4010
87301,2,1930
87301,3,930
87301,4,530
87301,5,630
87301,6,190
,,
87312,,210
87312,1,120
87312,2,50
87312,3,20
87312,4,20
87312,5,**
87312,6,**
,,
87317,,1250
87317,1,870
87317,2,260
87317,3,80
87317,4,40
87317,5,**
87317,6,**
,,
87321,,740
87321,1,390
87321,2,170
87321,3,100
87321,4,40
87321,5,40
87321,6,**
,,
87323,,1080
87323,1,580
87323,2,290
87323,3,130
87323,4,40
87323,5,40
87323,6,**
,,
87401,,16370
