70001,,18020
70001,1,6600
70001,2,4600
70001,3,2520
70001,4,1450
70001,5,2110
70001,6,740
,,
70002,,9380
70002,1,3480
70002,2,2200
70002,3,1110
70002,4,640
70002,5,1230
70002,6,720
,,
70003,,19000
70003,1,7170
70003,2,4620
70003,3,2750
70003,4,1730
70003,5,2260
70003,6,470
,,
70005,,11940
70005,1,3540
70005,2,2450
70005,3,1650
70005,4,1030
70005,5,1830
70005,6,1440
,,
70006,,7440
70006,1,2780
70006,2,1640
70006,3,920
70006,4,660
70006,5,1070
70006,6,370
,,
70030,,1770
70030,1,630
70030,2,380
70030,3,240
70030,4,180
70030,5,300
70030,6,40
,,
70031,,640
70031,1,230
70031,2,180
70031,3,80
70031,4,70
70031,5,80
70031,6,**
,,
70032,,1880
70032,1,830
70032,2,520
70032,3,260
70032,4,130
70032,5,140
70032,6,**
,,
70036,,460
70036,1,180
70036,2,110
70036,3,60
70036,4,40
70036,5,70
70036,6,**
,,
70037,,6880
70037,1,2170
70037,2,1600
70037,3,890
70037,4,690
70037,5,1140
70037,6,390
,,
70039,,1290
70039,1,620
70039,2,310
70039,3,120
70039,4,100
70039,5,140
70039,6,**
,,
70040,,490
70040,1,210
70040,2,140
70040,3,70
70040,4,30
70040,5,40
70040,6,**
,,
70041,,1010
70041,1,500
70041,2,240
70041,3,120
70041,4,60
70041,5,70
70041,6,20
,,
70043,,7860
70043,1,3640
70043,2,2170
70043,3,1000
70043,4,500
70043,5,490
70043,6,60
,,
70047,,5710
70047,1,1810
70047,2,1110
70047,3,730
70047,4,550
70047,5,1150
70047,6,360
,,
70049,,1000
70049,1,500
70049,2,270
70049,3,110
70049,4,70
70049,5,50
70049,6,**
,,
70051,,890
70051,1,400
70051,2,200
70051,3,120
70051,4,70
70051,5,100
70051,6,**
,,
70052,,1610
70052,1,590
70052,2,370
70052,3,220
70052,4,150
70052,5,250
70052,6,30
,,
70053,,6620
70053,1,3040
70053,2,1790
70053,3,820
70053,4,390
70053,5,450
70053,6,130
,,
70056,,17070
70056,1,7430
70056,2,4510
70056,3,2230
70056,4,1200
70056,5,1400
70056,6,300
,,
70057,,1840
70057,1,730
70057,2,450
70057,3,230
70057,4,130
70057,5,250
70057,6,50
,,
70058,,17740
70058,1,8140
70058,2,4860
70058,3,2140
70058,4,1130
70058,5,1230
70058,6,240
,,
70062,,6910
70062,1,3730
70062,2,1810
70062,3,680
70062,4,350
70062,5,300
70062,6,40
,,
70065,,23100
70065,1,9220
70065,2,5740
70065,3,3110
70065,4,1740
70065,5,2460
70065,6,830
,,
70067,,1240
70067,1,460
70067,2,290
70067,3,180
70067,4,110
70067,5,200
70067,6,**
,,
70068,,14140
70068,1,5620
70068,2,3510
70068,3,1990
70068,4,1160
70068,5,1590
70068,6,270
,,
70070,,6010
70070,1,1850
70070,2,1160
70070,3,790
70070,4,670
70070,5,1300
70070,6,240
,,
70071,,1520
70071,1,620
70071,2,350
70071,3,200
70071,4,140
70071,5,170
70071,6,40
,,
70072,,24530
70072,1,10540
70072,2,6510
70072,3,3350
70072,4,1790
70072,5,2050
70072,6,290
,,
70075,,2130
70075,1,730
70075,2,540
70075,3,320
70075,4,200
70075,5,310
70075,6,30
,,
70079,,1400
70079,1,430
70079,2,350
70079,3,210
70079,4,130
70079,5,250
70079,6,30
,,
70080,,630
70080,1,240
70080,2,160
70080,3,90
70080,4,60
70080,5,80
70080,6,**
,,
70083,,1030
70083,1,440
70083,2,310
70083,3,120
70083,4,70
70083,5,90
70083,6,**
,,
70084,,3090
70084,1,1450
70084,2,730
70084,3,410
70084,4,210
70084,5,260
70084,6,30
,,
70085,,1620
70085,1,680
70085,2,420
70085,3,210
70085,4,130
70085,5,140
70085,6,40
,,
70086,,890
70086,1,440
70086,2,240
70086,3,110
70086,4,50
70086,5,50
70086,6,**
,,
70087,,3410
70087,1,1460
70087,2,850
70087,3,430
70087,4,280
70087,5,330
70087,6,60
,,
70090,,3500
70090,1,1400
70090,2,860
70090,3,470
70090,4,280
70090,5,430
70090,6,60
,,
70091,,110
70091,1,50
70091,2,30
70091,3,30
70091,4,**
70091,5,**
70091,6,**
,,
70092,,2870
70092,1,1490
70092,2,730
70092,3,310
70092,4,170
70092,5,170
70092,6,**
,,
70094,,13180
70094,1,6330
70094,2,3790
70094,3,1610
70094,4,730
70094,5,650
70094,6,70
,,
70112,,1990
70112,1,840
70112,2,450
70112,3,230
70112,4,120
70112,5,220
70112,6,130
,,
70113,,3010
70113,1,1690
70113,2,770
70113,3,230
