1001,,8980
1001,1,2810
1001,2,2230
1001,3,1590
1001,4,940
1001,5,1250
1001,6,160
,,
1002,,9490
1002,1,3310
1002,2,1740
1002,3,1100
1002,4,790
1002,5,1740
1002,6,810
,,
1005,,2370
1005,1,720
1005,2,560
1005,3,400
1005,4,280
1005,5,370
1005,6,40
,,
1007,,7580
1007,1,2170
1007,2,1480
1007,3,1070
1007,4,870
1007,5,1660
1007,6,330
,,
1008,,660
1008,1,180
1008,2,130
1008,3,120
1008,4,100
1008,5,130
1008,6,**
,,
1010,,1880
1010,1,560
1010,2,360
1010,3,290
1010,4,230
1010,5,370
1010,6,70
,,
1011,,650
1011,1,220
1011,2,140
1011,3,130
1011,4,70
1011,5,90
1011,6,**
,,
1012,,350
1012,1,100
1012,2,90
1012,3,60
1012,4,40
1012,5,60
1012,6,**
,,
1013,,10550
1013,1,4300
1013,2,3160
1013,3,1590
1013,4,810
1013,5,630
1013,6,60
,,
1020,,15170
1020,1,5370
1020,2,4320
1020,3,2450
1020,4,1510
1020,5,1410
1020,6,110
,,
1022,,1150
1022,1,370
1022,2,390
1022,3,230
1022,4,90
1022,5,70
1022,6,**
,,
1026,,490
1026,1,170
1026,2,120
1026,3,70
1026,4,50
1026,5,80
1026,6,**
,,
1027,,9840
1027,1,2920
1027,2,2690
1027,3,1620
1027,4,1060
1027,5,1330
1027,6,220
,,
1028,,8250
1028,1,2310
1028,2,1450
1028,3,1180
1028,4,970
1028,5,1750
1028,6,590
,,
1030,,6000
1030,1,1880
1030,2,1260
1030,3,900
1030,4,680
1030,5,1080
1030,6,200
,,
1031,,500
1031,1,170
1031,2,150
1031,3,90
1031,4,50
1031,5,40
1031,6,**
,,
1032,,260
1032,1,70
1032,2,60
1032,3,50
1032,4,30
1032,5,50
1032,6,**
,,
1033,,3230
1033,1,930
1033,2,700
1033,3,540
1033,4,360
1033,5,610
1033,6,90
,,
1034,,1040
1034,1,300
1034,2,200
1034,3,170
1034,4,120
1034,5,210
1034,6,40
,,
1035,,2780
1035,1,910
1035,2,610
1035,3,370
1035,4,280
1035,5,470
1035,6,140
,,
1036,,2680
1036,1,760
1036,2,500
1036,3,380
1036,4,340
1036,5,570
1036,6,130
,,
1038,,1300
1038,1,340
1038,2,300
1038,3,220
1038,4,130
1038,5,250
1038,6,60
,,
1039,,780
1039,1,240
1039,2,180
1039,3,110
